id,left,top,right,bottom,bus
2060301,951877.887539182673208,1940387.256700000027195,952108.827646858524531,1940187.256700000027195,3
4157833,1161282.830174259841442,1715087.256700000027195,1161513.770281935809180,1714887.256700000027195,1
2060676,951877.887539182673208,1865387.256700000027195,952108.827646858524531,1865187.256700000027195,2
4157757,1161282.830174259841442,1730287.256700000027195,1161513.770281935809180,1730087.256700000027195,0
3633917,1108974.895785679807886,1764687.256700000027195,1109205.835893355775625,1764487.256700000027195,3
3633918,1108974.895785679807886,1764487.256700000027195,1109205.835893355775625,1764287.256700000027195,0
1536893,899569.953150602523237,1888387.256700000027195,899800.893258278374560,1888187.256700000027195,0
3633941,1108974.895785679807886,1759887.256700000027195,1109205.835893355775625,1759687.256700000027195,0
3633937,1108974.895785679807886,1760687.256700000027195,1109205.835893355775625,1760487.256700000027195,0
3633939,1108974.895785679807886,1760287.256700000027195,1109205.835893355775625,1760087.256700000027195,2
3633938,1108974.895785679807886,1760487.256700000027195,1109205.835893355775625,1760287.256700000027195,4
3633920,1108974.895785679807886,1764087.256700000027195,1109205.835893355775625,1763887.256700000027195,1
3633935,1108974.895785679807886,1761087.256700000027195,1109205.835893355775625,1760887.256700000027195,0
3633934,1108974.895785679807886,1761287.256700000027195,1109205.835893355775625,1761087.256700000027195,0
2062023,952051.092619939357974,1942687.256700000027195,952282.032727615325712,1942487.256700000027195,0
2062028,952051.092619939357974,1941687.256700000027195,952282.032727615325712,1941487.256700000027195,2
2062025,952051.092619939357974,1942287.256700000027195,952282.032727615325712,1942087.256700000027195,3
2062024,952051.092619939357974,1942487.256700000027195,952282.032727615325712,1942287.256700000027195,1
2062026,952051.092619939357974,1942087.256700000027195,952282.032727615325712,1941887.256700000027195,2
2062004,952051.092619939357974,1946487.256700000027195,952282.032727615325712,1946287.256700000027195,0
2062006,952051.092619939357974,1946087.256700000027195,952282.032727615325712,1945887.256700000027195,0
2062003,952051.092619939357974,1946687.256700000027195,952282.032727615325712,1946487.256700000027195,3
2062002,952051.092619939357974,1946887.256700000027195,952282.032727615325712,1946687.256700000027195,0
2062009,952051.092619939357974,1945487.256700000027195,952282.032727615325712,1945287.256700000027195,3
2062008,952051.092619939357974,1945687.256700000027195,952282.032727615325712,1945487.256700000027195,0
2061991,952051.092619939357974,1949087.256700000027195,952282.032727615325712,1948887.256700000027195,3
2061990,952051.092619939357974,1949287.256700000027195,952282.032727615325712,1949087.256700000027195,4
2061987,952051.092619939357974,1949887.256700000027195,952282.032727615325712,1949687.256700000027195,2
2061986,952051.092619939357974,1950087.256700000027195,952282.032727615325712,1949887.256700000027195,3
2061992,952051.092619939357974,1948887.256700000027195,952282.032727615325712,1948687.256700000027195,5
2061994,952051.092619939357974,1948487.256700000027195,952282.032727615325712,1948287.256700000027195,8
2061975,952051.092619939357974,1952287.256700000027195,952282.032727615325712,1952087.256700000027195,1
2061971,952051.092619939357974,1953087.256700000027195,952282.032727615325712,1952887.256700000027195,2
2061981,952051.092619939357974,1951087.256700000027195,952282.032727615325712,1950887.256700000027195,2
2061983,952051.092619939357974,1950687.256700000027195,952282.032727615325712,1950487.256700000027195,0
2061957,952051.092619939357974,1955887.256700000027195,952282.032727615325712,1955687.256700000027195,5
2061953,952051.092619939357974,1956687.256700000027195,952282.032727615325712,1956487.256700000027195,5
4147349,1160243.599689718568698,1731087.256700000027195,1160474.539797394536436,1730887.256700000027195,0
4147350,1160243.599689718568698,1730887.256700000027195,1160474.539797394536436,1730687.256700000027195,1
4147354,1160243.599689718568698,1730087.256700000027195,1160474.539797394536436,1729887.256700000027195,3
2050431,950838.657054641167633,1833587.256700000027195,951069.597162317135371,1833387.256700000027195,0
2050401,950838.657054641167633,1839587.256700000027195,951069.597162317135371,1839387.256700000027195,0
2050400,950838.657054641167633,1839787.256700000027195,951069.597162317135371,1839587.256700000027195,6
2050403,950838.657054641167633,1839187.256700000027195,951069.597162317135371,1838987.256700000027195,0
2050399,950838.657054641167633,1839987.256700000027195,951069.597162317135371,1839787.256700000027195,5
3623528,1107935.665301138535142,1761687.256700000027195,1108166.605408814502880,1761487.256700000027195,0
3623531,1107935.665301138535142,1761087.256700000027195,1108166.605408814502880,1760887.256700000027195,0
3623507,1107935.665301138535142,1765887.256700000027195,1108166.605408814502880,1765687.256700000027195,0
3623516,1107935.665301138535142,1764087.256700000027195,1108166.605408814502880,1763887.256700000027195,2
3623518,1107935.665301138535142,1763687.256700000027195,1108166.605408814502880,1763487.256700000027195,0
3623513,1107935.665301138535142,1764687.256700000027195,1108166.605408814502880,1764487.256700000027195,0
3623512,1107935.665301138535142,1764887.256700000027195,1108166.605408814502880,1764687.256700000027195,0
3623515,1107935.665301138535142,1764287.256700000027195,1108166.605408814502880,1764087.256700000027195,0
3623514,1107935.665301138535142,1764487.256700000027195,1108166.605408814502880,1764287.256700000027195,0
2051572,951011.862135398201644,1952087.256700000027195,951242.802243074052967,1951887.256700000027195,5
