시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
서울특별시,서대문구,14719,14698,14732,14761,14795,14785,14771,14737,14756,14778,14723,14647,14662,14621,14642,14620,14677,14749,14764,14841,14945,14954,15048,14977,15004,14983,14949,15007,15087,15087,15269,15390,14258,13300,12905,12914
서울특별시,서초구,12728,12693,12601,12468,12404,12331,12305,12293,12286,12317,12339,12117,12041,12034,12045,12078,12131,12168,12169,12161,12156,12221,12222,12224,12209,12134,12165,12274,12312,12312,12379,12442,12420,12197,11398,11386
서울특별시,성동구,20410,20351,20358,20331,20312,20334,20342,20329,20368,20311,20125,20044,19967,19945,19914,19938,19932,19935,19960,19956,20007,19967,19903,19894,19831,19824,19795,19815,19817,19817,19937,19759,19837,19865,19576,17267
서울특별시,성북구,26017,26019,26059,26110,26196,26213,26306,26338,26394,26429,26410,26335,26282,26203,26241,26297,26339,26371,26428,26411,26494,26440,26320,26298,26326,26383,26432,26538,26649,26649,26813,26917,27006,27021,23712,23633
서울특별시,송파구,19350,19362,19524,19717,19958,20146,20189,20434,20981,21149,21070,21116,21081,21084,21023,20807,20773,20748,20813,20847,20949,20839,20735,20614,20511,20337,20318,20360,20388,20388,20513,20588,20503,20495,20152,20047
서울특별시,양천구,18421,18402,18409,18470,18483,18521,18548,18625,18726,18719,18731,18675,18692,18703,18891,19034,19174,19453,19699,19801,20137,20421,20552,20843,15873,15895,15906,15969,15972,15972,16061,16138,16262,16308,16048,16029
서울특별시,영등포구,16154,16169,16104,16172,16188,16157,16158,16167,16202,16177,16174,16097,16102,16125,16190,16227,16307,16359,16334,16385,16541,16541,16666,16883,16978,16960,17069,17200,17230,17230,18034,18332,18515,18596,18348,18439
서울특별시,용산구,15783,15790,15819,15861,15845,15870,15951,15964,16002,16006,15961,15943,15925,15949,15985,16059,16108,16183,16240,16272,16434,16451,16449,16570,16489,16506,16521,16558,16588,16588,16682,16769,16685,16709,16569,16534
서울특별시,은평구,20749,20741,20781,20841,20859,20882,20877,20859,20897,20891,20854,20774,20719,20700,20693,20790,20835,20913,20967,20988,21120,21206,21183,21150,21088,21109,21189,21257,21353,21353,21578,21731,21595,21620,19214,19168
서울특별시,종로구,12700,12679,12682,12694,12618,12650,12831,12851,12859,12870,12843,12831,12801,12798,12833,12862,12871,12771,12785,12795,12798,12787,12774,12762,12740,12726,12735,12729,12681,12681,12719,12729,12763,12740,12572,12689
서울특별시,중구,14343,14375,14365,14399,14380,14390,14249,14230,14223,14183,14162,14104,14129,14180,14236,14338,14404,14454,14421,14350,14366,14338,14232,14188,14161,14171,14178,14180,14219,14219,14283,14306,14170,14172,14057,13972
서울특별시,중랑구,24110,24038,24011,24059,24064,24102,24156,24190,24258,24229,24213,24212,24210,24147,24206,24228,24307,24293,24348,24399,24491,24563,24568,24630,24652,24683,24710,24829,24885,24885,25050,24941,24982,25077,24737,24707
부산광역시,강서구,5642,5652,5677,5691,5687,5690,5718,5742,5745,5779,5791,5790,5814,5835,5889,5890,5912,5927,5925,5962,6010,6045,6045,6079,6079,6085,6109,6152,6164,6164,6212,6279,5874,5908,5833,5836
부산광역시,중구,2764,2763,2760,2745,2753,2746,2744,2743,2760,2768,2764,2767,2756,2753,2747,2777,2780,2785,2777,2771,2789,2811,2817,2822,2810,2827,2853,2862,2868,2868,2890,2920,2933,2945,2897,2911
부산광역시,금정구,8098,8091,8122,8151,8150,8179,8226,8258,8272,8259,8259,8258,8226,8239,8227,8265,8301,8312,8335,8327,8377,8356,8325,8311,8295,8300,8327,8378,8403,8403,8479,8554,8164,8196,8094,8062
부산광역시,기장군,4994,5008,5038,5051,5074,5108,5143,5158,5187,5192,5198,5198,5200,5216,5277,5308,5364,5410,5424,5507,5551,5551,5557,5607,5665,5660,5680,5733,5769,5769,5782,5765,5755,5632,5465,5501
부산광역시,남구,10614,10577,10583,10582,10586,10602,10624,10664,10680,10705,10707,10701,10685,10647,10729,10755,10801,10834,10858,10851,10835,10900,10891,10869,10885,10869,10855,10928,10961,10961,10983,11033,10638,10700,10594,10583
부산광역시,동구,4204,4191,4190,4172,4196,4219,4235,4284,4300,4311,4311,4297,4290,4287,4299,4343,4371,4370,4377,4379,4373,4376,4368,4369,4364,4351,4352,4379,4393,4393,4401,4444,4476,4495,4421,4408
부산광역시,동래구,8276,8264,8287,8320,8344,8361,8412,8491,8495,8508,8529,8534,8522,8519,8549,8593,8660,8672,8677,8684,8728,8749,8765,8751,8755,8776,8782,8838,8855,8855,8875,8920,8976,8971,8530,8532
부산광역시,부산진구,16847,16841,16850,16888,16927,16962,17028,17078,17132,17197,17152,17109,17107,17131,17229,17298,17335,17424,17464,17514,17554,17590,17630,17612,17632,17678,17745,17878,17888,17888,17982,18114,15383,15434,15256,15204
부산광역시,북구,8620,8597,8585,8598,8612,8632,8616,8643,8644,8638,8649,8646,8639,8624,8633,8642,8697,8732,8788,8792,8801,8813,8804,8766,8761,8750,8804,8878,8895,8895,8982,9057,9118,9157,8353,8345
부산광역시,사상구,9864,9854,9861,9893,9924,9978,10024,10026,10074,10134,10133,10105,10107,10073,10107,10172,10211,10246,10251,10271,10304,10337,10328,10328,10332,10351,10347,10456,10457,10457,10480,10542,10620,10634,10499,10489
부산광역시,사하구,11269,11255,11274,11314,11348,11416,11459,11537,11581,11643,11637,11620,11626,11647,11717,11821,11890,11904,11933,11963,12013,12001,12007,11978,11978,12002,11982,12097,12175,12175,12214,12303,12342,12369,12353,12264
